name,location,price,rating,quality,review,bed,size,distance_from_center,room_type,nights,adults,free_cancellation
Citadines Bastille Marais Paris,"11th arr., Paris","IRR 34,681,618",7.9,Good,"3,249 reviews",Beds: 1 double or 2 singles,25m²,1.4,Deluxe Studio,4 nights, 2 adults,
Hôtel Duo,"4th arr., Paris","IRR 44,333,200",8.4,Very good,981 reviews,1 double bed,,200,Standard Double Room 14m2,4 nights, 2 adults,
Hotel Cactus,"15th arr., Paris","IRR 23,348,018",7.1,Good,"1,582 reviews",1 double bed,,3.6,Double Room,4 nights, 2 adults,
Lennon by Avalon Hotel Paris Gare du Nord,"10th arr., Paris","IRR 21,645,975",7.4,Good,"2,242 reviews",1 double bed,,2.7,Double Room,4 nights, 2 adults,
Chatillon Paris Montparnasse,"14th arr., Paris","IRR 24,429,315",8.1,Very good,"1,548 reviews",1 large double bed,,4,Classic Double Room,4 nights, 2 adults,
Hipotel Paris Belgrand Mairie du 20ème,"20th arr., Paris","IRR 17,220,665",7,Good,"1,565 reviews",2 single beds,,4.1,Twin Room,4 nights, 2 adults,
Best Western Plus 61 Paris Nation Hotel,"12th arr., Paris","IRR 26,255,507",7.7,Good,"1,664 reviews",2 single beds,,4.4,Superior Twin Room,4 nights, 2 adults,
Odalys City Paris XVII,"17th arr., Paris","IRR 27,472,968",7.5,Good,"4,272 reviews",Beds: 1 double or 2 singles,22m²,5.3,Standard Studio (2 Adults),4 nights, 2 adults,Free cancellation
The ReMIX Hotel,"19th arr., Paris","IRR 27,152,583",8.1,Very good,"7,359 reviews",Beds: 1 double or 2 singles,,5.1,Duo Pop Room,4 nights, 2 adults,
HotelF1 Paris Saint Ouen Marché Aux Puces,"18th arr., Paris","IRR 13,653,584",6.4,Review score,"15,844 reviews",2 single beds,,5.1,Side-Car Room,4 nights, 2 adults,
ibis Budget Paris La Villette 19ème,"19th arr., Paris","IRR 22,114,537",7.2,Good,"14,004 reviews",1 double bed,,3.6,Double Room,4 nights, 2 adults,
Lumineux T1 à 16 min du Canal Saint-Martin,"11th arr., Paris","IRR 18,181,818",5.8,Review score,5 reviews,"2 beds (1 double, 1 sofa bed)",35m²,2.5,One-Bedroom Apartment,4 nights, 2 adults,
104-Beautiful apartment near champs elysees,"8th arr., Paris","IRR 23,708,450",,,,1 double bed,20m²,4.2,Apartment,4 nights, 2 adults,
Hotel Atelier Vavin,"6th arr., Paris","IRR 27,152,583",6.7,Review score,883 reviews,1 double bed,,2.3,Double Room Cabriole,4 nights, 2 adults,
Zoku Paris,"17th arr., Paris","IRR 34,644,774",9,Superb,"1,245 reviews",1 extra-large double bed,26m²,5.3,Loft,4 nights, 2 adults,
Hotel CIS Paris Maurice Ravel,"12th arr., Paris","IRR 23,708,450",7.3,Good,"3,315 reviews",4 single beds,,4.7,Quadruple Room,4 nights, 2 adults,
Le Glam's Hotel,"14th arr., Paris","IRR 24,229,075",8.8,Fabulous,51 reviews,Beds: 1 double or 2 singles,,4,Double or Twin Room,4 nights, 2 adults,
Amiral Hôtel,"13th arr., Paris","IRR 29,955,947",7.4,Good,"3,047 reviews",1 large double bed,,3.5,Superior Queen Room with Queen Bed and Garden View,4 nights, 2 adults,
Cosy duplex 1BR St Fargeau,"20th arr., Paris","IRR 16,139,367",6,Review score,1 review,"3 beds (1 double, 2 sofa beds)",45m²,4.1,One-Bedroom Apartment,4 nights, 2 adults,
Hôtel Lodge In Paris 13,"13th arr., Paris","IRR 26,551,862",6.7,Review score,"3,235 reviews",2 single beds,,4.3,Twin Room,4 nights, 2 adults,Free cancellation
Le Patio Bastille,"11th arr., Paris","IRR 35,466,560",8.3,Very good,"2,481 reviews",Beds: 1 double or 2 singles,,3,Classic Room,4 nights, 2 adults,
Lennon by Avalon Hotel Paris Gare du Nord,"10th arr., Paris","IRR 21,645,975",7.4,Good,"2,242 reviews",1 double bed,,2.7,Double Room,4 nights, 2 adults,
Hotel Bridget,"20th arr., Paris","IRR 27,176,612",8.1,Very good,"1,127 reviews",1 large double bed,,3.5,Double Room,4 nights, 2 adults,
Appart'City Collection Paris Grande Bibliothèque,"13th arr., Paris","IRR 29,635,563",7.3,Good,"1,513 reviews",1 double bed,20m²,3.8,Double Studio,4 nights, 2 adults,Free cancellation
"Holiday Inn Paris - Gare de Lyon Bastille, an IHG Hotel","12th arr., Paris","IRR 45,734,882",8.5,Very good,"2,531 reviews",1 large double bed,,1.9,Premium Room,4 nights, 2 adults,
ibis Paris Alesia Montparnasse,"14th arr., Paris","IRR 28,928,714",7.5,Good,"3,561 reviews",1 double bed,,3.9,Standard Double Room,4 nights, 2 adults,
citizenM Paris Gare de Lyon,"12th arr., Paris","IRR 46,095,314",8.3,Very good,"10,437 reviews",1 extra-large double bed,,2.1,King Room - Iconic View,4 nights, 2 adults,
Sonder Le Frochot,"9th arr., Paris","IRR 26,333,200",7.6,Good,798 reviews,1 double bed,,2.9,Queen Room,4 nights, 2 adults,
Hotel Relais Bosquet by Malone,"7th arr., Paris","IRR 50,180,216",8.7,Fabulous,"1,252 reviews",Beds: 1 double or 2 singles,,3.4,Classic Double or Twin Room,4 nights, 2 adults,
Aparthotel Adagio Paris Nation,"12th arr., Paris","IRR 35,843,012",8.4,Very good,"2,454 reviews",Beds: 1 double or 2 singles,26m²,3.8,Studio,4 nights, 2 adults,
Tony's House Hotel,"Westminster Borough, London","IRR 6,443,929",6.1,Review score,"1,491 reviews","2 beds (1 single, 1 double)",,3.3,Family Room (3 Adults),1 night, 3 adults,
Royal London Apartments,"Islington, London","IRR 7,525,756",7.9,Good,214 reviews,"3 beds (2 doubles, 1 sofa bed)",60m²,2.2,Two-Bedroom Apartment,1 night, 3 adults,
Jubilee Rooms 15 Minutes Central London,"Brent, London","IRR 4,233,238",7.6,Good,11 reviews,"2 beds (1 single, 1 double)",,8.2,Comfort Triple Room,1 night, 3 adults,
Streatham Hotel,"Brent, London","IRR 2,963,266",6.2,Review score,90 reviews,2 double beds,,6.3,Deluxe Family Room,1 night, 3 adults,
Victorian Woods BnB,"Newham, London","IRR 3,247,364",8.2,Very good,138 reviews,"2 beds (1 sofa bed, 1 large double)",,11.3,Queen Room with Shared Bathroom,1 night, 3 adults,
London Central Budget Rooms,"Islington, London","IRR 2,351,799",5.8,Review score,58 reviews,"2 beds (1 double, 1 bunk bed)",,3.1,Budget Triple Room,1 night, 3 adults,
Comfortable - Cosy - Budget Studios in City Center,"Tower Hamlets, London","IRR 3,057,338",7.7,Good,296 reviews,"2 beds (1 double, 1 sofa bed)",25m²,5.1,Studio,1 night, 3 adults,
Camden House - Next to Camden Market and Station - City Center,"Camden, London","IRR 3,292,518",7.6,Good,142 reviews,3 single beds,,3.9,Triple Room with Shared Bathroom,1 night, 3 adults,
Orchard Hotel,"Westminster Borough, London","IRR 4,402,567",7,Good,"2,328 reviews","2 beds (1 single, 1 double)",,3.2,Standard Triple Room,1 night, 3 adults,
Fulham suites,"Hammersmith and Fulham, London","IRR 2,822,158",6,Review score,38 reviews,"3 beds (2 singles, 1 double)",,6.4,Economy Quadruple Room with Shared Bathroom,1 night, 3 adults,
London Court Hotel,"Kensington and Chelsea, London","IRR 5,644,317",8,Very good,"1,689 reviews",2 single beds,,4.9,"Deluxe Twin Room, with en suite",1 night, 3 adults,
Camden Budget Suites - Next to Station and Camden Market,"Camden, London","IRR 2,822,158",7.1,Good,90 reviews,"2 beds (1 single, 1 double)",,3.6,Superior Triple Room,1 night, 3 adults,
European Hotel,"Camden, London","IRR 3,527,698",5.8,Review score,"4,513 reviews","2 beds (1 single, 1 double)",,2.5,Triple Room,1 night, 3 adults,
Address Inn,"Tower Hamlets, London","IRR 2,645,774",6.9,Review score,17 reviews,"2 beds (1 single, 1 double)",,6.1,Family Room with Shared Bathroom,1 night, 3 adults,
Studio9 Rooms - Next to Emirates Stadium - Budget Rooms with Shared Bathroom,"Islington, London","IRR 2,586,979",7.1,Good,188 reviews,"2 beds (1 single, 1 double)",,5,Triple Room with Shared Bathroom,1 night, 3 adults,
Residence Inn by Marriott London Kensington,"Kensington and Chelsea, London","IRR 9,360,159",7.9,Good,"3,032 reviews","2 beds (1 double, 1 sofa bed)",,5.4,One-Bedroom Suite with Double Bed,1 night, 3 adults,
Park Avenue Bayswater Inn Hyde Park,"Westminster Borough, London","IRR 6,095,862",7.2,Good,"5,208 reviews",Multiple bed types,,4.5,Triple Room,1 night, 3 adults,
Coronation Hotel,"Kensington and Chelsea, London","IRR 4,587,419",7.1,Good,258 reviews,"2 beds (1 single, 1 double)",,5.1,Family Room,1 night, 3 adults,
City Center Camden Market Budget Apartment and Rooms,"Camden, London","IRR 2,822,158",7.8,Good,6 reviews,"2 beds (1 single, 1 double)",,3.7,Triple Room with Private Bathroom,1 night, 3 adults,
Wandsworth Guest Rooms 64,"Wandsworth, London","IRR 3,057,338",7.3,Good,44 reviews,"2 beds (1 single, 1 double)",,7.2,Triple Room,1 night, 3 adults,
Great 1 bed flat London/Chiswick,"Chiswick, London","IRR 2,539,943",6,Review score,3 reviews,"2 beds (1 double, 1 sofa bed)",,8.8,One-Bedroom Apartment,1 night, 3 adults,
Lancaster Gate Hotel,"Westminster Borough, London","IRR 7,478,720",7.8,Good,"14,934 reviews","2 beds (1 single, 1 double)",,3.8,Triple Room,1 night, 3 adults,Free cancellation
St George Hotel,"Westminster Borough, London","IRR 4,656,562",5,Review score,"2,362 reviews","2 beds (1 single, 1 double)",,3.3,Standard Triple Room,1 night, 3 adults,
Brick lane stay,"Tower Hamlets, London","IRR 3,057,338",4.4,Review score,912 reviews,"2 beds (1 single, 1 double)",,4.1,Basic Triple Room with Shared Bathroom,1 night, 3 adults,
Balmoral House Hotel,"Westminster Borough, London","IRR 5,362,101",7.6,Good,"1,447 reviews","2 beds (1 single, 1 double)",,3.3,Triple Room,1 night, 3 adults,
Royal London Apartments,"Islington, London","IRR 7,525,756",7.9,Good,214 reviews,"3 beds (2 doubles, 1 sofa bed)",60m²,2.2,Two-Bedroom Apartment,1 night, 3 adults,
European Hotel,"Camden, London","IRR 3,527,698",5.8,Review score,"4,513 reviews","2 beds (1 single, 1 double)",,2.5,Triple Room,1 night, 3 adults,
Residence Inn by Marriott London Kensington,"Kensington and Chelsea, London","IRR 9,360,159",7.9,Good,"3,032 reviews","2 beds (1 double, 1 sofa bed)",,5.4,One-Bedroom Suite with Double Bed,1 night, 3 adults,
Tony's House Hotel,"Westminster Borough, London","IRR 6,443,929",6.1,Review score,"1,491 reviews","2 beds (1 single, 1 double)",,3.3,Family Room (3 Adults),1 night, 3 adults,
Royal London Apartments,"Islington, London","IRR 7,525,756",7.9,Good,214 reviews,"3 beds (2 doubles, 1 sofa bed)",60m²,2.2,Two-Bedroom Apartment,1 night, 3 adults,
Jubilee Rooms 15 Minutes Central London,"Brent, London","IRR 4,233,238",7.6,Good,11 reviews,"2 beds (1 single, 1 double)",,8.2,Comfort Triple Room,1 night, 3 adults,
Streatham Hotel,"Brent, London","IRR 2,963,266",6.2,Review score,90 reviews,2 double beds,,6.3,Deluxe Family Room,1 night, 3 adults,
Residence Inn by Marriott London Kensington,"Kensington and Chelsea, London","IRR 9,360,159",7.9,Good,"3,032 reviews","2 beds (1 double, 1 sofa bed)",,5.4,One-Bedroom Suite with Double Bed,1 night, 3 adults,
Casa Emilio - Soho - by Frankie Says,"Westminster Borough, London","IRR 5,503,209",9.9,Exceptional,9 reviews,"2 beds (1 extra-large double, 1 sofa bed)",40m²,0.7,One-Bedroom Apartment,1 night, 3 adults,
Lancaster Gate Hotel,"Westminster Borough, London","IRR 7,478,720",7.8,Good,"14,934 reviews","2 beds (1 single, 1 double)",,3.8,Triple Room,1 night, 3 adults,Free cancellation
Coronation Hotel,"Kensington and Chelsea, London","IRR 4,587,419",7.1,Good,258 reviews,"2 beds (1 single, 1 double)",,5.1,Family Room,1 night, 3 adults,
London Hilton on Park Lane,"Westminster Borough, London","IRR 20,648,793",7.8,Good,"1,613 reviews",2 single beds,,1.6,Family Room,1 night, 3 adults,
"Holiday Inn London Bloomsbury, an IHG Hotel","Camden, London","IRR 11,006,418",7.9,Good,"3,432 reviews","2 beds (1 double, 1 sofa bed)",,1.9,Standard Double Room with Sofa Bed,1 night, 3 adults,
Royal National Hotel,"Camden, London","IRR 9,407,195",7.4,Good,"6,500 reviews",3 single beds,,1.8,Standard Triple Room,1 night, 3 adults,
London Central Budget Rooms,"Islington, London","IRR 2,351,799",5.8,Review score,58 reviews,"2 beds (1 double, 1 bunk bed)",,3.1,Budget Triple Room,1 night, 3 adults,
Stay at Piccadilly,"Westminster Borough, London","IRR 6,434,521",7.4,Good,330 reviews,"2 beds (1 double, 1 sofa bed)",45m²,0.5,One-Bedroom Apartment,1 night, 3 adults,
The Nayland Hotel,"Westminster Borough, London","IRR 4,925,110",7.2,Good,"2,818 reviews",3 single beds,,3.2,Triple Standard,1 night, 3 adults,
Hotel Edward Paddington,"Westminster Borough, London","IRR 7,525,756",7,Good,"3,955 reviews",Multiple bed types,,3.4,Triple Room,1 night, 3 adults,
Marlin Waterloo,"Lambeth, London","IRR 10,300,878",8.1,Very good,"10,563 reviews","2 beds (1 sofa bed, 1 large double)",24m²,1.4,"Deluxe Studio, 1 Queen Bed and Sofa Bed",1 night, 3 adults,
"2 bedroom top floor flat, West Dulwich FREE STREET PARKING","Lambeth, London","IRR 3,010,302",9.1,Superb,14 reviews,2 double beds,80m²,7.3,Two-Bedroom Apartment,1 night, 3 adults,
Orlando hotel,"Hammersmith and Fulham, London","IRR 3,715,842",7.1,Good,148 reviews,"2 beds (1 single, 1 double)",,6.6,Standard Triple Room,1 night, 3 adults,
The Queensborough Apartments by Hyde Park,"Westminster Borough, London","IRR 4,632,573",8.4,Very good,316 reviews,"3 beds (1 double, 2 sofa beds)",55m²,4.1,Apartment,1 night, 3 adults,
Thistle London Marble Arch,"Westminster Borough, London","IRR 14,298,936",7.4,Good,"7,547 reviews",1 large double bed,,2.2,Deluxe King Room,1 night, 3 adults,
Wandsworth Guest Rooms 64,"Wandsworth, London","IRR 3,057,338",7.3,Good,44 reviews,"2 beds (1 single, 1 double)",,7.2,Triple Room,1 night, 3 adults,
Park Avenue Bayswater Inn Hyde Park,"Westminster Borough, London","IRR 6,095,862",7.2,Good,"5,208 reviews",Multiple bed types,,4.5,Triple Room,1 night, 3 adults,
MSK Elite,"Westminster Borough, London","IRR 6,756,247",8.2,Very good,"3,482 reviews","2 beds (1 single, 1 double)",15m²,4.1,Studio,1 night, 3 adults,
Balmoral House Hotel,"Westminster Borough, London","IRR 5,362,101",7.6,Good,"1,447 reviews","2 beds (1 single, 1 double)",,3.3,Triple Room,1 night, 3 adults,
Sofitel London St James,"Westminster Borough, London","IRR 27,986,405",9.1,Superb,"1,268 reviews",1 extra-large double bed,,350,Luxury King Room,1 night, 3 adults,
Tony's House Hotel,"Westminster Borough, London","IRR 6,443,929",6.1,Review score,"1,491 reviews","2 beds (1 single, 1 double)",,3.3,Family Room (3 Adults),1 night, 3 adults,
Royal London Apartments,"Islington, London","IRR 7,525,756",7.9,Good,214 reviews,"3 beds (2 doubles, 1 sofa bed)",60m²,2.2,Two-Bedroom Apartment,1 night, 3 adults,
Jubilee Rooms 15 Minutes Central London,"Brent, London","IRR 4,233,238",7.6,Good,11 reviews,"2 beds (1 single, 1 double)",,8.2,Comfort Triple Room,1 night, 3 adults,
Victorian Woods BnB,"Newham, London","IRR 3,608,130",8.2,Very good,138 reviews,"2 beds (1 sofa bed, 1 large double)",,11.3,Queen Room with Shared Bathroom,1 night, 3 adults,
Park Plaza Westminster Bridge London,"Lambeth, London","IRR 21,354,333",8.3,Very good,"25,125 reviews","3 beds (2 singles, 1 sofa bed)",34m²,1,Studio Triple,1 night, 3 adults,
"Radisson Blu Hotel, London Bloomsbury","Camden, London","IRR 19,708,073",8.4,Very good,"5,190 reviews","2 beds (1 extra-large double, 1 sofa bed)",,1.1,Deluxe Premium Room,1 night, 3 adults,Free cancellation
Residence Inn by Marriott London Kensington,"Kensington and Chelsea, London","IRR 9,360,159",7.9,Good,"3,032 reviews","2 beds (1 double, 1 sofa bed)",,5.4,One-Bedroom Suite with Double Bed,1 night, 3 adults,
Knightsbridge Residences by Dena Elite Collection,"Kensington and Chelsea, London","IRR 13,969,685",9.2,Superb,160 reviews,"3 beds (1 sofa bed, 2 large doubles)",90m²,2.7,Deluxe Apartment,1 night, 3 adults,
Luxurious Covent Garden Penthouse,"Westminster Borough, London","IRR 13,170,073",8.5,Very good,48 reviews,"3 beds (1 sofa bed, 2 large doubles)",102m²,0.5,Penthouse Apartment,1 night, 3 adults,
YOTEL London City,"Islington, London","IRR 12,064,728",8,Very good,"6,625 reviews","2 beds (1 double, 1 bunk bed)",,2.3,Triple Cabin,1 night, 3 adults,
Casa Emilio - Soho - by Frankie Says,"Westminster Borough, London","IRR 5,503,209",9.9,Exceptional,9 reviews,"2 beds (1 extra-large double, 1 sofa bed)",40m²,0.7,One-Bedroom Apartment,1 night, 3 adults,
Lancaster Gate Hotel,"Westminster Borough, London","IRR 7,478,720",7.8,Good,"14,934 reviews","2 beds (1 single, 1 double)",,3.8,Triple Room,1 night, 3 adults,Free cancellation
Coronation Hotel,"Kensington and Chelsea, London","IRR 4,587,419",7.1,Good,258 reviews,"2 beds (1 single, 1 double)",,5.1,Family Room,1 night, 3 adults,
London Hilton on Park Lane,"Westminster Borough, London","IRR 20,648,793",7.8,Good,"1,613 reviews",2 single beds,,1.6,Family Room,1 night, 3 adults,
The Cleveland,"Westminster Borough, London","IRR 11,429,742",8.2,Very good,"2,763 reviews","2 beds (1 single, 1 large double)",,3.9,Executive Deluxe Studio Suite,1 night, 3 adults,
"Holiday Inn London Bloomsbury, an IHG Hotel","Camden, London","IRR 11,006,418",7.9,Good,"3,432 reviews","2 beds (1 double, 1 sofa bed)",,1.9,Standard Double Room with Sofa Bed,1 night, 3 adults,
Chilworth Court,"Westminster Borough, London","IRR 13,226,516",8.4,Very good,422 reviews,"2 beds (1 sofa bed, 1 large double)",52m²,3.8,One-Bedroom Apartment,1 night, 3 adults,
Royal Garden Hotel,"Kensington and Chelsea, London","IRR 18,532,174",8.1,Very good,"3,448 reviews","2 beds (1 extra-large double, 1 sofa bed)",,4.2,Deluxe Studio,1 night, 3 adults,Free cancellation
Royal National Hotel,"Camden, London","IRR 9,407,195",7.4,Good,"6,500 reviews",3 single beds,,1.8,Standard Triple Room,1 night, 3 adults,
London Central Budget Rooms,"Islington, London","IRR 2,351,799",5.8,Review score,58 reviews,"2 beds (1 double, 1 bunk bed)",,3.1,Budget Triple Room,1 night, 3 adults,
Stay at Piccadilly,"Westminster Borough, London","IRR 6,434,521",7.4,Good,330 reviews,"2 beds (1 double, 1 sofa bed)",45m²,0.5,One-Bedroom Apartment,1 night, 3 adults,
The Nayland Hotel,"Westminster Borough, London","IRR 4,925,110",7.2,Good,"2,818 reviews",3 single beds,,3.2,Triple Standard,1 night, 3 adults,
Hotel Edward Paddington,"Westminster Borough, London","IRR 7,525,756",7,Good,"3,955 reviews",Multiple bed types,,3.4,Triple Room,1 night, 3 adults,
Marlin Waterloo,"Lambeth, London","IRR 10,300,878",8.1,Very good,"10,563 reviews","2 beds (1 sofa bed, 1 large double)",24m²,1.4,"Deluxe Studio, 1 Queen Bed and Sofa Bed",1 night, 3 adults,
Tony's House Hotel,"Westminster Borough, London","IRR 6,443,929",6.1,Review score,"1,491 reviews","2 beds (1 single, 1 double)",,3.3,Family Room (3 Adults),1 night, 3 adults,
Royal London Apartments,"Islington, London","IRR 7,525,756",7.9,Good,214 reviews,"3 beds (2 doubles, 1 sofa bed)",60m²,2.2,Two-Bedroom Apartment,1 night, 3 adults,
Jubilee Rooms 15 Minutes Central London,"Brent, London","IRR 4,233,238",7.6,Good,11 reviews,"2 beds (1 single, 1 double)",,8.2,Comfort Triple Room,1 night, 3 adults,
Victorian Woods BnB,"Newham, London","IRR 3,247,364",8.2,Very good,138 reviews,"2 beds (1 sofa bed, 1 large double)",,11.3,Queen Room with Shared Bathroom,1 night, 3 adults,
London Central Budget Rooms,"Islington, London","IRR 2,351,799",5.8,Review score,58 reviews,"2 beds (1 double, 1 bunk bed)",,3.1,Budget Triple Room,1 night, 3 adults,
Streatham Hotel,"Brent, London","IRR 2,963,266",6.2,Review score,90 reviews,2 double beds,,6.3,Deluxe Family Room,1 night, 3 adults,
Comfortable - Cosy - Budget Studios in City Center,"Tower Hamlets, London","IRR 3,057,338",7.7,Good,296 reviews,"2 beds (1 double, 1 sofa bed)",25m²,5.1,Studio,1 night, 3 adults,
Camden House - Next to Camden Market and Station - City Center,"Camden, London","IRR 3,292,518",7.6,Good,142 reviews,3 single beds,,3.9,Triple Room with Shared Bathroom,1 night, 3 adults,
Orchard Hotel,"Westminster Borough, London","IRR 4,402,567",7,Good,"2,328 reviews","2 beds (1 single, 1 double)",,3.2,Standard Triple Room,1 night, 3 adults,
Fulham suites,"Hammersmith and Fulham, London","IRR 2,822,158",6,Review score,38 reviews,"3 beds (2 singles, 1 double)",,6.4,Economy Quadruple Room with Shared Bathroom,1 night, 3 adults,
Camden Budget Suites - Next to Station and Camden Market,"Camden, London","IRR 2,822,158",7.1,Good,90 reviews,"2 beds (1 single, 1 double)",,3.6,Superior Triple Room,1 night, 3 adults,
European Hotel,"Camden, London","IRR 3,527,698",5.8,Review score,"4,513 reviews","2 beds (1 single, 1 double)",,2.5,Triple Room,1 night, 3 adults,
Address Inn,"Tower Hamlets, London","IRR 2,645,774",6.9,Review score,17 reviews,"2 beds (1 single, 1 double)",,6.1,Family Room with Shared Bathroom,1 night, 3 adults,
Studio9 Rooms - Next to Emirates Stadium - Budget Rooms with Shared Bathroom,"Islington, London","IRR 2,586,979",7.1,Good,188 reviews,"2 beds (1 single, 1 double)",,5,Triple Room with Shared Bathroom,1 night, 3 adults,
Park Avenue Bayswater Inn Hyde Park,"Westminster Borough, London","IRR 6,095,862",7.2,Good,"5,208 reviews",Multiple bed types,,4.5,Triple Room,1 night, 3 adults,
Coronation Hotel,"Kensington and Chelsea, London","IRR 4,587,419",7.1,Good,258 reviews,"2 beds (1 single, 1 double)",,5.1,Family Room,1 night, 3 adults,
City Center Camden Market Budget Apartment and Rooms,"Camden, London","IRR 2,822,158",7.8,Good,6 reviews,"2 beds (1 single, 1 double)",,3.7,Triple Room with Private Bathroom,1 night, 3 adults,
Wandsworth Guest Rooms 64,"Wandsworth, London","IRR 3,057,338",7.3,Good,44 reviews,"2 beds (1 single, 1 double)",,7.2,Triple Room,1 night, 3 adults,
Great 1 bed flat London/Chiswick,"Chiswick, London","IRR 2,539,943",6,Review score,3 reviews,"2 beds (1 double, 1 sofa bed)",,8.8,One-Bedroom Apartment,1 night, 3 adults,
Lancaster Gate Hotel,"Westminster Borough, London","IRR 7,478,720",7.8,Good,"14,934 reviews","2 beds (1 single, 1 double)",,3.8,Triple Room,1 night, 3 adults,Free cancellation
St George Hotel,"Westminster Borough, London","IRR 4,656,562",5,Review score,"2,362 reviews","2 beds (1 single, 1 double)",,3.3,Standard Triple Room,1 night, 3 adults,
Brick lane stay,"Tower Hamlets, London","IRR 3,057,338",4.4,Review score,912 reviews,"2 beds (1 single, 1 double)",,4.1,Basic Triple Room with Shared Bathroom,1 night, 3 adults,
Balmoral House Hotel,"Westminster Borough, London","IRR 5,362,101",7.6,Good,"1,447 reviews","2 beds (1 single, 1 double)",,3.3,Triple Room,1 night, 3 adults,
London Court Hotel,"Kensington and Chelsea, London","IRR 5,644,317",8,Very good,"1,689 reviews",2 single beds,,4.9,"Deluxe Twin Room, with en suite",1 night, 3 adults,
Orlando hotel,"Hammersmith and Fulham, London","IRR 3,715,842",7.1,Good,148 reviews,"2 beds (1 single, 1 double)",,6.6,Standard Triple Room,1 night, 3 adults,
GoldersGreen Apartments by Sleepy,"Golders Green, London","IRR 10,244,435",9,Superb,29 reviews,"2 beds (1 double, 1 sofa bed)",,8.7,Studio,3 nights, 3 adults,
145 Burnley Road,"Brent, London","IRR 12,699,713",8.2,Very good,307 reviews,"2 beds (1 double, 1 sofa bed)",,9,Apartment - Ground Floor,3 nights, 3 adults,
Lancaster Gate Hotel,"Westminster Borough, London","IRR 21,314,352",7.8,Good,"14,934 reviews","2 beds (1 single, 1 double)",,3.8,Triple Room,3 nights, 3 adults,Free cancellation
Comfort Inn Edgware Road,"Westminster Borough, London","IRR 16,072,193",7.2,Good,"2,096 reviews","2 beds (1 single, 1 double)",,3.7,Triple Room,3 nights, 3 adults,
Novotel London Blackfriars,"Southwark, London","IRR 31,796,319",8.3,Very good,"3,868 reviews","2 beds (1 sofa bed, 1 large double)",,1.6,Superior Room with 1 Queen Bed + 1 Sofa Bed,3 nights, 3 adults,
Queens Park Hotel,"Westminster Borough, London","IRR 14,562,338",5.8,Review score,"8,028 reviews","2 beds (1 single, 1 double)",,4,Triple Room,3 nights, 3 adults,
Plaza Hotel,"Hammersmith and Fulham, London","IRR 12,826,710",6.8,Review score,"1,039 reviews","2 beds (1 single, 1 double)",,6.6,Triple Room,3 nights, 3 adults,
2 Bedrooms 2 Stations,"Southwark, London","IRR 11,429,742",8.1,Very good,31 reviews,"3 beds (2 doubles, 1 sofa bed)",64m²,5.5,Two-Bedroom Apartment,3 nights, 3 adults,
Residence Inn by Marriott London Kensington,"Kensington and Chelsea, London","IRR 29,769,539",7.9,Good,"3,032 reviews","2 beds (1 double, 1 sofa bed)",,5.4,One-Bedroom Suite with Double Bed,3 nights, 3 adults,
Streatham Hotel,"Brent, London","IRR 11,853,066",6.2,Review score,90 reviews,3 double beds,,6.3,Classic Triple Room,3 nights, 3 adults,
Coronation Hotel,"Kensington and Chelsea, London","IRR 13,406,194",7.1,Good,258 reviews,3 single beds,,5.1,Triple Room,3 nights, 3 adults,
"The Crown London, WorldHotels Distinctive",London,"IRR 18,391,066",7.2,Good,"3,691 reviews","2 beds (1 single, 1 double)",,8.1,Deluxe Triple Room,3 nights, 3 adults,
Manor Hotel,"Kensington and Chelsea, London","IRR 12,276,389",6.1,Review score,"1,053 reviews","2 beds (1 single, 1 large double)",,5,Family Room,3 nights, 3 adults,
Brick lane stay,"Tower Hamlets, London","IRR 9,877,555",4.4,Review score,912 reviews,"2 beds (1 single, 1 double)",,4.1,Basic Triple Room with Shared Bathroom,3 nights, 3 adults,
Fulham suites,"Hammersmith and Fulham, London","IRR 9,877,555",6,Review score,38 reviews,"3 beds (2 singles, 1 double)",,6.4,Economy Quadruple Room with Shared Bathroom,3 nights, 3 adults,
Royal National Hotel,"Camden, London","IRR 28,927,124",7.4,Good,"6,500 reviews",3 single beds,,1.8,Standard Triple Room,3 nights, 3 adults,
Address Inn,"Tower Hamlets, London","IRR 7,937,321",6.9,Review score,17 reviews,"2 beds (1 single, 1 double)",,6.1,Family Room with Shared Bathroom,3 nights, 3 adults,
Central London Luxury Studios Fulham Close to Underground Newly Refurbished,"Hammersmith and Fulham, London","IRR 13,941,463",8.7,Fabulous,643 reviews,"2 beds (1 double, 1 sofa bed)",23m²,6,Studio with Garden View,3 nights, 3 adults,
145 Burnley Road,"Brent, London","IRR 12,699,713",8.2,Very good,307 reviews,"2 beds (1 double, 1 sofa bed)",,9,Apartment - Ground Floor,3 nights, 3 adults,
Lancaster Gate Hotel,"Westminster Borough, London","IRR 21,314,352",7.8,Good,"14,934 reviews","2 beds (1 single, 1 double)",,3.8,Triple Room,3 nights, 3 adults,Free cancellation
"The Crown London, WorldHotels Distinctive",London,"IRR 18,391,066",7.2,Good,"3,691 reviews","2 beds (1 single, 1 double)",,8.1,Deluxe Triple Room,3 nights, 3 adults,
Royal National Hotel,"Camden, London","IRR 28,927,124",7.4,Good,"6,500 reviews",3 single beds,,1.8,Standard Triple Room,3 nights, 3 adults,
